reference_number,procurement_id,vendor_name,vendor_postal_code,buyer_name,contract_date,economic_object_code,description_en,description_fr,contract_period_start,delivery_date,contract_value,original_value,amendment_value,comments_en,comments_fr,additional_comments_en,additional_comments_fr,agreement_type_code,trade_agreement,land_claims,commodity_type,commodity_code,country_of_vendor,solicitation_procedure,limited_tendering_reason,trade_agreement_exceptions,aboriginal_business,aboriginal_business_incidental,intellectual_property,potential_commercial_exploitation,former_public_servant,contracting_entity,standing_offer_number,instrument_type,ministers_office,number_of_bids,article_6_exceptions,award_criteria,socioeconomic_indicator,reporting_period,record_created,record_modified,user_modified,owner_org,owner_org_title
C-2018-2019-Q1-00069,4500377604,CANADIAN CORPS OF COMMISSIONAIRES,,,2018-04-01,460,Protection services,Services de protection,2018-04-01,2019-03-31,81073.6,81073.6,0,Protection Services,Services de protection,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,K105,CA,TC,0,0,,N,C,,N,,PWSOSA,EN578-182172/001/ZL,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00160,4500379911,ADLAIR AVIATION (1983) LTD,,,2018-05-28,533,"Rental of machinery, office furniture and fixtures and other equipment","Location de machinerie, de mobilier et d'installation de bureau, et d'autres équipement",2018-05-28,2018-06-08,24617.15,24237.73,0,Rental of Motor and Other Vehicles,Location d'automobiles et autres véhicules,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,JX15,CA,TC,0,0,,N,C,,N,,PWSOSA,E60SQ-020001/018/SQ,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00147,4500379558,7260491 CANADA INC. KMOTIONS,,,2018-06-05,351,Communication Services,Services de communication,2018-06-11,2019-03-31,24729.97,24729.97,0,"Communication, Photographic, Mapping, Printing and Publication Services","Services de communication, de photographie, de cartographie, d'impression, et de publication",Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,T002,CA,TN,85,0,,N,C,,N,,,E60ZT-120001/652/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00246,4500381745,8199400 CANADA INC. (SUMMIT AIR),,,2018-06-25,561,Rental of aircraft,Location d'aéronefs,2018-06-25,2018-07-03,20153.28,20153.28,0,Passenger Air Charter Service,Service de transport aérien de voyageurs,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,V203,CA,TC,0,0,,N,C,,N,,PWSOSA,E60SQ-020001/412/ZL,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00234,4500381514,AIR TINDI LTD,,,2018-06-19,561,Rental of aircraft,Location d'aéronefs,2018-06-19,2018-06-26,18248.87,18248.87,0,Passenger Air Charter Service,Service de transport aérien de voyageurs,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,V203,CA,TC,0,0,,N,C,,N,,PWSOSA,E60SQ-020001/027/SQ,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00245,4500381743,ALTIS HUMAN RESOURCES (OTTAWA),,,2018-06-26,491,Management consulting,Services de conseillers en gestion,2018-06-26,2018-08-31,16526.25,16526.25,0,Administrative and Management Support Services,Services administratifs et services aux entreprises,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R199,CA,TN,85,0,,N,C,,N,,PWSOSA,E60ZT-180026/195/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00247,4500381754,ALTIS HUMAN RESOURCES (OTTAWA),,,2018-06-25,491,Management consulting,Services de conseillers en gestion,2018-06-25,2018-08-15,23282.44,23282.44,0,Administrative and Management Support Services,Services administratifs et services aux entreprises,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R199,CA,TN,85,0,,N,A5,N,N,,PWSOSA,E60ZT-180026/195/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00015,4500368194,ARTEMP PERSONNEL SERVICES INC,,,2017-08-21,813,Temporary help services,Services d'aide temporaire,2017-08-21,2018-12-07,202937.32,44812.66,83863.69,Temporary Help Services Acquired For General Help,Services d'aide temporaire pour travail général,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R019,CA,TC,0,0,,N,C,,N,,PWSOSA,E60ZN-110002/016/ZN,,,,,,A,,,*,aandc-aadnc,
C-2018-2019-Q1-00186,4500380417,ASOKAN BUSINESS INTERIORS,,,2018-05-23,1231,"Office furniture and furnishings, including parts",Mobilier et ameublement du bureau incluant des pièces,2018-05-23,2018-06-30,19073.35,19073.35,0,Acq (incl Res) Office Furniture/ Furnishing & Part,Acq (incl rés) mobilier et ameublement de bureau,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R019,CA,TN,74,0,,N,C,,N,,,E60PQ-140003/021/PQ,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00196,4500380657,BUFFALO AIRWAYS LIMITED,,,2018-05-28,561,Rental of aircraft,Location d'aéronefs,2018-05-28,2018-06-22,19207.39,19207.39,0,Passenger Air Charter Service,Service de transport aérien de voyageurs,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,V203,CA,TC,0,0,,N,C,,N,,PWSOSA,E60SQ-020001/053/SQ,,,,,,C,,,*,aandc-aadnc,
